Provinsi,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
ACEH,10.03,1.8,1.8,0,9.07,0.01,53.55,76.5,88.74,94.3
SUMATERA UTARA,8015.13,9234.4,8953.3,8745.02,3566.16,3489.84,1846.8,1402.56,1014.48,776.16
SUMATERA BARAT,676.21,965.7,822.1,827.58,1024.55,1014.39,1089.36,1269.9,1363.23,1298.63
RIAU,41.05,29.2,28.6,36.73,45.37,56.7,88.26,52.16,74.84,79.38
JAMBI,0,3.9,3.9,3.94,6.26,8.02,8.91,11.86,6.82,8.5
SUMATERA SELATAN,0,7.5,21.8,0,31.13,55.93,67.92,112.22,127.25,124.25
BENGKULU,0,23.1,23.1,192.65,272.53,409.61,437.11,205.24,183.82,273.55
LAMPUNG,3845.84,3778.8,3613.8,1751.04,2134.84,1471.06,1122.42,617.85,669.33,678.16
KEP. BANGKA BELITUNG,0,0,0,149.49,418.58,144,407.22,328.05,99.7,83.17
KEP. RIAU,0,0,0,0,12.55,8.83,10.3,11.77,0.01,0.01
DKI JAKARTA,2151.57,2874.9,2724.9,3163.36,4292.68,5100.48,5097.96,5417.83,4725.56,4768.68
JAWA BARAT,246619.97,268467.3,264834.1,290472.23,281198.94,300337.16,319003.97,310461.27,302559.48,249946.95
JAWA TENGAH,72907.76,89545.9,92176.2,104421.95,102707.88,102948.9,100998.41,99606.55,99996.62,95512.93
DI YOGYAKARTA,3774.41,3613.1,3607.5,3867.2,5385.6,5925.69,4059.47,6124.59,6225.57,6187.32
JAWA TIMUR,468712.04,456343.4,445213,530426.49,542860.27,521123.43,512846.75,498915.77,492460.62,472212.76
BANTEN,73.41,72.8,68.2,75.32,121.22,53.74,87.92,20.35,17.52,17.2
BALI,0,0,0,0,0,0,0,0,0,0
NUSA TENGGARA BARAT,0,9.8,9.8,0,0,0,0,0,0,0
NUSA TENGGARA TIMUR,40.62,41.8,36.7,39.22,46.87,18.32,16.42,30.79,0.04,0.04
KALIMANTAN BARAT,0,0,0,0,115.78,66.6,95.9,62.46,43.2,34.99
KALIMANTAN TENGAH,0,0,0,0,0,0,0,0,0,0
KALIMANTAN SELATAN,55.58,105,130.4,111.77,111.64,202.27,252.01,112.41,126.07,162.1
KALIMANTAN TIMUR,76.15,76.2,75,83.88,122.21,139.23,168.3,163.71,148.41,120.87
KALIMANTAN UTARA,0,0,0,0,6.27,0,0,0,0,0
SULAWESI UTARA,0,0,0,0,13.67,20.25,2.44,0,0,0
SULAWESI TENGAH,0,0,0,0,0,0,0,0,0,0
SULAWESI SELATAN,1303.96,1961,1878,1942.4,2302.11,1888.2,3173.4,3052.8,2752.2,2727
SULAWESI TENGGARA,49.11,67.7,50.8,77.9,106.63,54.43,69.14,51.49,27.95,17.65
GORONTALO,0,0,0,0,0,0,0,0,0,0
SULAWESI BARAT,0,0,0,0,0,0,0,0,0,0
MALUKU,0,0,0,0,0,0,0,0,0,0
MALUKU UTARA,0,0,0,0,0,0,0,0,0,0
PAPUA BARAT,0,0,0,0,0,0,0,0,0,0
PAPUA BARAT DAYA,0,0,0,0,0,0,0,0,0,0
PAPUA,0,0,0,0,0,0,0,0,23.54,0
PAPUA SELATAN,0,0,0,0,0,0,0,0,0,0
PAPUA TENGAH,0,0,0,0,0,0,0,0,0,0
PAPUA PEGUNUNGAN,0,0,0,0,0,0,0,0,0,0
INDONESIA,808352.84,837223.2,824273.2,946388.17,946912.81,944537.09,951003.95,928108.13,912735.01,835124.6